Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-119/00:00.000000,-118732067.936004,-86960536.80113964,-37437339.04307227,18.32756818020145,-21.7817066117746,-9.586155833310505,151858464.60348588,30.037258230102676
2022-120/00:00.000000,-117131491.316842,-88829385.7874742,-38260094.61816644,18.72185797747432,-21.47779219408798,-9.458677110764699,151902208.27123746,30.021160809449878
2022-121/00:00.000000,-115497113.9112598,-90671727.50764605,-39071715.77956149,19.10998159035316,-21.16813081466197,-9.328423347960541,151945860.3088948,30.005010260439068
2022-122/00:00.000000,-113829471.9396238,-92487070.49794492,-39871965.08064722,19.49185940932446,-20.85284026593884,-9.195448203772477,151989409.14003775,29.988827887363207
2022-123/00:00.000000,-112129108.9223655,-94274933.30169496,-40660609.57198989,19.86741068966888,-20.5320359171875,-9.059803136931306,152032842.79236686,29.972629836178825
2022-124/00:00.000000,-110396574.0846038,-96034847.18376811,-41437422.22214282,20.23655422607008,-20.2059078079115,-8.921580424987637,152076150.01584977,29.956492360855872
2022-125/00:00.000000,-108632424.2329961,-97766352.6078171,-42202180.44571676,20.59923013064131,-19.87443274411793,-8.780763930121605,152119319.38891426,29.940326886527348
2022-126/00:00.000000,-106837221.6176849,-99468994.65278365,-42954663.53215464,20.95535797724414,-19.53779165343524,-8.637441862729412,152162334.1677645,29.92419978177401
2022-127/00:00.000000,-105011534.9740095,-101142332.0219244,-43694657.431724,21.30486784414008,-19.19610137575284,-8.491671096075388,152205180.2420224,29.908128993442173
2022-128/00:00.000000,-103155939.1423605,-102785933.2940744,-44421952.81014887,21.647689847799,-18.84947358164664,-8.343502560124819,152247843.18650752,29.89212546846584
2022-129/00:00.000000,-101271014.8699648,-104399376.6620219,-45136344.90509202,21.98375657094785,-18.49801857080127,-8.192992618802965,152290308.0685136,29.876200763620552
2022-130/00:00.000000,-99357349.40711254,-105982249.6405009,-45837633.69712593,22.31300029538473,-18.14184669992899,-8.040192894282923,152332559.82560128,29.860363119741884
2022-131/00:00.000000,-97415533.52723283,-107534149.792921,-46525623.62904508,22.63536161132814,-17.7810673327938,-7.885157495883108,152374581.86375228,29.844625303458177
2022-132/00:00.000000,-95446165.2922363,-109054683.5580345,-47200123.70229948,22.95077714259495,-17.41578834733556,-7.727936453953443,152416357.889986,29.828993564057612
2022-133/00:00.000000,-93449847.311456,-110543466.4529115,-47860947.64364358,23.25918882150258,-17.0461104591051,-7.56858775567482,152457870.40132758,29.813474588408404
2022-134/00:00.000000,-91427187.30246544,-112000123.2415356,-48507913.69134343,23.56053692342191,-16.67214430025704,-7.407159232952076,152499101.22635508,29.798075501461962
2022-135/00:00.000000,-89378797.90637292,-113424287.9961333,-49140844.37147649,23.85476889920605,-16.29399630142319,-7.243703601811362,152540031.49389905,29.782806391880126
2022-136/00:00.000000,-87305296.18923143,-114815603.9331063,-49759566.79837195,24.14183235488478,-15.91177135526352,-7.078272274147604,152580641.4233962,29.76767500999218
2022-137/00:00.000000,-85207303.36085959,-116173723.595116,-50363912.70943514,24.42168320641757,-15.52558329668425,-6.910917651022523,152620910.43951866,29.752699543337467
2022-138/00:00.000000,-83085444.90745814,-117498309.5763556,-50953717.92691364,24.694272096191,-15.13554465675399,-6.741695262621564,152660817.7606384,29.73789235018793
2022-139/00:00.000000,-80940350.27036823,-118789034.1217442,-51528823.74235299,24.95954977046881,-14.74177208673906,-6.570662338611338,152700342.5200392,29.723266519175077
2022-140/00:00.000000,-78772653.25987546,-120045579.8144326,-52089076.10540592,25.21746577330105,-14.34438413271013,-6.397874750150849,152739464.39639837,29.70883265113212
2022-141/00:00.000000,-76582992.32832918,-121267639.3753673,-52634325.77342656,25.4679656624508,-13.94350006904107,-6.223385958378348,152778163.7645192,29.69459550063045
2022-142/00:00.000000,-74372010.24878451,-122454915.4435383,-53164428.16923767,25.71100290833561,-13.53922743387791,-6.047250513803822,152816421.3927661,29.680559105842583
2022-143/00:00.000000,-72140353.79473719,-123607119.8640077,-53679243.20497088,25.94653088463985,-13.13167330606326,-5.869519653705573,152854217.729716,29.666724957938648
2022-144/00:00.000000,-69888673.81153704,-124723973.9549887,-54178635.04227272,26.17450432422937,-12.72094650704899,-5.690243952046499,152891533.12497035,29.653094828164324
2022-145/00:00.000000,-67617624.60861267,-125805207.9959147,-54662472.73060293,26.39488479069247,-12.30715365681068,-5.50947297699482,152928347.41025135,29.6396738634303
2022-146/00:00.000000,-65327864.02859609,-126850561.9439176,-55130629.05503909,26.60763155711731,-11.89040419604304,-5.327258819039274,152964640.1755345,29.626465458262388
2022-147/00:00.000000,-63020053.1383341,-127859784.9819421,-55582981.8170585,26.8127094813183,-11.47080715904051,-5.143657358223892,153000390.7866329,29.613476959456854
